datetime,symbol,open,high,low,close,volume
2026-05-28 00:00:00,SPX,7534.25,7539.75,7532.5,7537.75,1350
2026-05-28 00:05:00,SPX,7537.75,7538.0,7534.25,7537.5,954
2026-05-28 00:10:00,SPX,7537.25,7537.75,7533.5,7534.0,689
2026-05-28 00:15:00,SPX,7534.5,7540.0,7533.75,7538.5,944
2026-05-28 00:20:00,SPX,7538.25,7542.25,7537.0,7539.25,1359
2026-05-28 00:25:00,SPX,7539.25,7541.0,7537.0,7540.0,902
2026-05-28 00:30:00,SPX,7540.0,7540.5,7536.25,7538.25,1071
2026-05-28 00:35:00,SPX,7538.25,7539.0,7537.0,7538.75,400
2026-05-28 00:40:00,SPX,7538.75,7542.5,7538.75,7541.5,626
2026-05-28 00:45:00,SPX,7541.5,7543.75,7541.25,7542.5,726
2026-05-28 00:50:00,SPX,7542.75,7544.0,7542.25,7543.0,485
2026-05-28 00:55:00,SPX,7543.25,7551.75,7542.0,7549.25,1566
2026-05-28 01:00:00,SPX,7549.0,7550.25,7546.25,7547.25,797
2026-05-28 01:05:00,SPX,7547.0,7547.0,7544.25,7545.75,386
2026-05-28 01:10:00,SPX,7545.75,7547.75,7544.5,7547.25,463
2026-05-28 01:15:00,SPX,7547.25,7548.25,7545.5,7546.75,445
2026-05-28 01:20:00,SPX,7546.75,7548.0,7544.0,7547.25,476
2026-05-28 01:25:00,SPX,7547.25,7547.25,7544.0,7546.5,470
2026-05-28 01:30:00,SPX,7546.5,7549.25,7545.25,7546.75,666
2026-05-28 01:35:00,SPX,7547.0,7548.5,7546.25,7547.25,403
2026-05-28 01:40:00,SPX,7547.25,7547.5,7544.75,7545.0,457
2026-05-28 01:45:00,SPX,7545.5,7545.5,7542.75,7545.5,607
2026-05-28 01:50:00,SPX,7545.5,7547.5,7544.5,7547.0,580
2026-05-28 01:55:00,SPX,7547.25,7550.5,7547.0,7549.25,649
2026-05-28 02:00:00,SPX,7549.5,7550.75,7543.5,7545.0,980
2026-05-28 02:05:00,SPX,7545.0,7546.5,7544.0,7544.75,609
2026-05-28 02:10:00,SPX,7544.75,7545.5,7542.75,7543.0,809
2026-05-28 02:15:00,SPX,7543.0,7543.25,7539.5,7540.25,1384
2026-05-28 02:20:00,SPX,7540.5,7541.25,7539.75,7540.75,748
2026-05-28 02:25:00,SPX,7540.75,7540.75,7537.75,7537.75,763
2026-05-28 02:30:00,SPX,7537.75,7539.25,7536.5,7539.0,1401
2026-05-28 02:35:00,SPX,7539.0,7539.0,7534.75,7535.75,912
2026-05-28 02:40:00,SPX,7536.0,7536.25,7533.25,7534.25,1173
2026-05-28 02:45:00,SPX,7534.25,7536.75,7532.5,7536.5,1170
2026-05-28 02:50:00,SPX,7536.5,7537.75,7534.75,7536.75,712
2026-05-28 02:55:00,SPX,7536.75,7537.25,7533.5,7534.0,611
2026-05-28 03:00:00,SPX,7534.25,7536.25,7533.5,7534.25,920
2026-05-28 03:05:00,SPX,7534.25,7535.75,7530.0,7531.0,1799
2026-05-28 03:10:00,SPX,7530.75,7533.25,7527.75,7530.25,2719
2026-05-28 03:15:00,SPX,7530.25,7533.0,7528.5,7529.5,1700
2026-05-28 03:20:00,SPX,7529.5,7530.5,7527.75,7528.5,1834
2026-05-28 03:25:00,SPX,7528.5,7528.75,7526.75,7527.25,1674
2026-05-28 03:30:00,SPX,7527.25,7527.25,7521.75,7522.25,3419
