datetime,symbol,open,high,low,close,volume
2026-05-28 00:00:00,OANDA:SPX500USD,7525.0,7526.6,7524.0,7524.6,280.0
2026-05-28 00:05:00,OANDA:SPX500USD,7524.8,7526.0,7520.6,7521.2,390.0
2026-05-28 00:10:00,OANDA:SPX500USD,7520.6,7523.8,7518.2,7520.6,574.0
2026-05-28 00:15:00,OANDA:SPX500USD,7520.4,7523.2,7519.2,7520.0,435.0
2026-05-28 00:20:00,OANDA:SPX500USD,7519.6,7521.0,7518.0,7519.0,367.0
2026-05-28 00:25:00,OANDA:SPX500USD,7518.8,7519.2,7517.2,7517.8,316.0
2026-05-28 00:30:00,OANDA:SPX500USD,7517.6,7517.8,7512.8,7513.0,613.0
2026-05-28 00:35:00,OANDA:SPX500USD,7512.6,7514.0,7505.2,7508.2,949.0
2026-05-28 00:40:00,OANDA:SPX500USD,7508.2,7510.2,7503.2,7503.4,1718.0
2026-05-28 00:45:00,OANDA:SPX500USD,7503.2,7508.6,7502.6,7505.6,1077.0
2026-05-28 00:50:00,OANDA:SPX500USD,7505.4,7505.8,7502.8,7505.0,955.0
2026-05-28 00:55:00,OANDA:SPX500USD,7505.2,7505.6,7501.8,7503.0,545.0
2026-05-28 01:00:00,OANDA:SPX500USD,7503.6,7503.6,7497.6,7501.2,1071.0
2026-05-28 01:05:00,OANDA:SPX500USD,7501.2,7505.0,7499.6,7504.0,831.0
2026-05-28 01:10:00,OANDA:SPX500USD,7504.6,7504.8,7499.2,7500.0,620.0
2026-05-28 01:15:00,OANDA:SPX500USD,7499.8,7501.8,7498.0,7499.6,654.0
2026-05-28 01:20:00,OANDA:SPX500USD,7499.4,7500.2,7496.2,7498.8,906.0
2026-05-28 01:25:00,OANDA:SPX500USD,7498.6,7501.2,7497.0,7499.8,667.0
2026-05-28 01:30:00,OANDA:SPX500USD,7499.6,7502.2,7498.8,7502.0,666.0
2026-05-28 01:35:00,OANDA:SPX500USD,7502.0,7505.0,7501.8,7503.6,303.0
2026-05-28 01:40:00,OANDA:SPX500USD,7503.6,7505.6,7502.0,7502.0,265.0
2026-05-28 01:45:00,OANDA:SPX500USD,7502.2,7502.2,7499.2,7500.2,236.0
2026-05-28 01:50:00,OANDA:SPX500USD,7500.6,7503.2,7499.2,7500.6,337.0
2026-05-28 01:55:00,OANDA:SPX500USD,7501.0,7502.2,7499.2,7500.4,365.0
2026-05-28 02:00:00,OANDA:SPX500USD,7500.2,7501.8,7497.4,7499.2,648.0
2026-05-28 02:05:00,OANDA:SPX500USD,7499.0,7502.0,7498.0,7501.0,688.0
2026-05-28 02:10:00,OANDA:SPX500USD,7501.0,7505.0,7500.0,7504.2,475.0
