datetime,symbol,open,high,low,close,volume
2026-05-28 00:00:00,JAPAN225,64630.0,64940.0,64565.0,64770.0,83
2026-05-28 00:05:00,JAPAN225,64700.0,64835.0,64575.0,64835.0,30
2026-05-28 00:10:00,JAPAN225,64815.0,64815.0,64620.0,64620.0,27
2026-05-28 00:15:00,JAPAN225,64550.0,64710.0,64550.0,64665.0,52
2026-05-28 00:20:00,JAPAN225,64600.0,64845.0,64595.0,64745.0,39
2026-05-28 00:25:00,JAPAN225,64725.0,64750.0,64625.0,64625.0,37
2026-05-28 00:30:00,JAPAN225,64605.0,64650.0,64515.0,64595.0,29
2026-05-28 00:35:00,JAPAN225,64530.0,64695.0,64530.0,64695.0,30
2026-05-28 00:40:00,JAPAN225,64705.0,64875.0,64705.0,64875.0,73
2026-05-28 00:45:00,JAPAN225,64895.0,64995.0,64895.0,64985.0,11
2026-05-28 00:50:00,JAPAN225,65000.0,65060.0,64960.0,64970.0,26
2026-05-28 00:55:00,JAPAN225,64965.0,65180.0,64965.0,65180.0,13
2026-05-28 01:00:00,JAPAN225,65065.0,65065.0,64920.0,64980.0,15
2026-05-28 01:05:00,JAPAN225,64995.0,64995.0,64905.0,64910.0,9
2026-05-28 01:10:00,JAPAN225,64970.0,65005.0,64940.0,64975.0,8
2026-05-28 01:15:00,JAPAN225,65000.0,65000.0,64895.0,64895.0,3
2026-05-28 01:20:00,JAPAN225,64960.0,64985.0,64900.0,64985.0,5
2026-05-28 01:25:00,JAPAN225,64985.0,65005.0,64935.0,64935.0,12
2026-05-28 01:30:00,JAPAN225,64975.0,65000.0,64885.0,64910.0,11
2026-05-28 01:35:00,JAPAN225,64915.0,64960.0,64915.0,64960.0,3
2026-05-28 01:40:00,JAPAN225,64945.0,64945.0,64905.0,64905.0,3
2026-05-28 01:45:00,JAPAN225,64845.0,64850.0,64840.0,64850.0,4
2026-05-28 01:50:00,JAPAN225,64960.0,65000.0,64960.0,65000.0,3
2026-05-28 01:55:00,JAPAN225,65040.0,65135.0,65040.0,65130.0,13
2026-05-28 02:00:00,JAPAN225,65135.0,65150.0,65035.0,65035.0,24
2026-05-28 02:05:00,JAPAN225,65095.0,65125.0,65015.0,65015.0,32
2026-05-28 02:10:00,JAPAN225,65020.0,65080.0,65000.0,65005.0,9
2026-05-28 02:15:00,JAPAN225,65030.0,65030.0,65000.0,65030.0,4
2026-05-28 02:20:00,JAPAN225,65110.0,65155.0,65110.0,65155.0,4
2026-05-28 02:25:00,JAPAN225,65190.0,65195.0,65070.0,65070.0,7
2026-05-28 02:30:00,JAPAN225,65065.0,65085.0,65055.0,65055.0,4
2026-05-28 02:35:00,JAPAN225,64980.0,65005.0,64980.0,65005.0,2
2026-05-28 02:40:00,JAPAN225,64995.0,64995.0,64950.0,64950.0,7
2026-05-28 02:45:00,JAPAN225,64945.0,64990.0,64935.0,64990.0,15
2026-05-28 02:50:00,JAPAN225,64980.0,64990.0,64980.0,64990.0,3
2026-05-28 02:55:00,JAPAN225,64925.0,64925.0,64895.0,64905.0,5
2026-05-28 03:00:00,JAPAN225,64900.0,64955.0,64900.0,64925.0,53
2026-05-28 03:05:00,JAPAN225,64920.0,64935.0,64865.0,64880.0,21
2026-05-28 03:10:00,JAPAN225,64870.0,64890.0,64815.0,64865.0,24
2026-05-28 03:15:00,JAPAN225,64825.0,64825.0,64765.0,64765.0,7
2026-05-28 03:20:00,JAPAN225,64775.0,64800.0,64730.0,64745.0,29
2026-05-28 03:25:00,JAPAN225,64740.0,64740.0,64690.0,64695.0,14
2026-05-28 03:30:00,JAPAN225,64680.0,64685.0,64450.0,64450.0,86
2026-05-28 03:35:00,JAPAN225,64400.0,64500.0,64130.0,64200.0,117
2026-05-28 03:40:00,JAPAN225,64150.0,64280.0,64140.0,64250.0,30
2026-05-28 03:45:00,JAPAN225,64245.0,64400.0,64245.0,64395.0,50
2026-05-28 03:50:00,JAPAN225,64365.0,64375.0,64255.0,64340.0,22
2026-05-28 03:55:00,JAPAN225,64345.0,64345.0,64235.0,64330.0,25
2026-05-28 04:05:00,JAPAN225,64200.0,64200.0,64155.0,64155.0,78
2026-05-28 04:10:00,JAPAN225,64210.0,64220.0,63990.0,64065.0,52
2026-05-28 04:15:00,JAPAN225,64010.0,64045.0,64010.0,64045.0,9
2026-05-28 04:20:00,JAPAN225,63970.0,64005.0,63965.0,63985.0,18
2026-05-28 04:25:00,JAPAN225,63950.0,63995.0,63905.0,63995.0,18
2026-05-28 04:30:00,JAPAN225,64060.0,64065.0,64040.0,64065.0,3
2026-05-28 04:35:00,JAPAN225,64115.0,64225.0,64110.0,64190.0,93
2026-05-28 04:40:00,JAPAN225,64195.0,64205.0,64125.0,64125.0,29
2026-05-28 04:45:00,JAPAN225,64110.0,64110.0,63970.0,63970.0,7
2026-05-28 04:50:00,JAPAN225,63950.0,64030.0,63950.0,64020.0,11
2026-05-28 04:55:00,JAPAN225,64015.0,64025.0,64015.0,64025.0,3
2026-05-28 05:00:00,JAPAN225,64040.0,64045.0,64040.0,64045.0,7
2026-05-28 05:05:00,JAPAN225,64045.0,64145.0,64015.0,64145.0,7
2026-05-28 05:10:00,JAPAN225,64130.0,64270.0,64115.0,64250.0,15
2026-05-28 05:15:00,JAPAN225,64260.0,64270.0,64215.0,64225.0,4
2026-05-28 05:20:00,JAPAN225,64250.0,64415.0,64250.0,64415.0,15
2026-05-28 05:25:00,JAPAN225,64400.0,64460.0,64400.0,64460.0,33
2026-05-28 05:30:00,JAPAN225,64530.0,64665.0,64520.0,64665.0,29
2026-05-28 05:35:00,JAPAN225,64685.0,64685.0,64600.0,64640.0,11
2026-05-28 05:40:00,JAPAN225,64655.0,64685.0,64640.0,64660.0,11
2026-05-28 05:45:00,JAPAN225,64675.0,64700.0,64650.0,64650.0,23
2026-05-28 05:50:00,JAPAN225,64620.0,64630.0,64585.0,64600.0,20
2026-05-28 05:55:00,JAPAN225,64600.0,64615.0,64595.0,64600.0,6
2026-05-28 06:00:00,JAPAN225,64615.0,64635.0,64615.0,64630.0,4
2026-05-28 06:05:00,JAPAN225,64625.0,64655.0,64610.0,64625.0,8
2026-05-28 06:10:00,JAPAN225,64670.0,64700.0,64655.0,64700.0,9
2026-05-28 06:15:00,JAPAN225,64710.0,64740.0,64690.0,64695.0,10
2026-05-28 06:20:00,JAPAN225,64725.0,64740.0,64695.0,64725.0,58
2026-05-28 06:25:00,JAPAN225,64665.0,64755.0,64665.0,64720.0,37
2026-05-28 06:30:00,JAPAN225,64720.0,64720.0,64595.0,64630.0,83
2026-05-28 06:35:00,JAPAN225,64645.0,64645.0,64580.0,64595.0,9
2026-05-28 06:40:00,JAPAN225,64595.0,64595.0,64555.0,64590.0,35
2026-05-28 06:45:00,JAPAN225,64590.0,64590.0,64525.0,64525.0,42
2026-05-28 06:50:00,JAPAN225,64515.0,64515.0,64455.0,64505.0,28
2026-05-28 06:55:00,JAPAN225,64525.0,64550.0,64505.0,64540.0,18
2026-05-28 07:00:00,JAPAN225,64550.0,64625.0,64550.0,64620.0,41
2026-05-28 07:05:00,JAPAN225,64625.0,64695.0,64625.0,64680.0,15
2026-05-28 07:10:00,JAPAN225,64650.0,64670.0,64625.0,64645.0,17
2026-05-28 07:15:00,JAPAN225,64625.0,64630.0,64595.0,64615.0,8
2026-05-28 07:20:00,JAPAN225,64635.0,64635.0,64580.0,64625.0,8
2026-05-28 07:25:00,JAPAN225,64610.0,64620.0,64590.0,64615.0,17
2026-05-28 07:30:00,JAPAN225,64620.0,64620.0,64590.0,64590.0,5
2026-05-28 07:35:00,JAPAN225,64600.0,64600.0,64570.0,64600.0,10
2026-05-28 07:40:00,JAPAN225,64585.0,64625.0,64580.0,64625.0,10
2026-05-28 07:45:00,JAPAN225,64535.0,64535.0,64535.0,64535.0,1
2026-05-28 07:50:00,JAPAN225,64580.0,64665.0,64560.0,64660.0,17
2026-05-28 07:55:00,JAPAN225,64665.0,64670.0,64655.0,64670.0,3
2026-05-28 08:00:00,JAPAN225,64705.0,64745.0,64645.0,64665.0,37
2026-05-28 08:05:00,JAPAN225,64680.0,64760.0,64660.0,64660.0,17
2026-05-28 08:10:00,JAPAN225,64670.0,64670.0,64670.0,64670.0,2
2026-05-28 08:15:00,JAPAN225,64595.0,64645.0,64595.0,64645.0,6
2026-05-28 08:20:00,JAPAN225,64645.0,64655.0,64645.0,64655.0,2
2026-05-28 08:25:00,JAPAN225,64655.0,64655.0,64555.0,64620.0,21
2026-05-28 08:30:00,JAPAN225,64625.0,64640.0,64590.0,64630.0,23
2026-05-28 08:35:00,JAPAN225,64625.0,64635.0,64605.0,64605.0,8
2026-05-28 08:40:00,JAPAN225,64620.0,64620.0,64620.0,64620.0,2
2026-05-28 08:50:00,JAPAN225,64635.0,64670.0,64635.0,64665.0,6
2026-05-28 08:55:00,JAPAN225,64670.0,64670.0,64670.0,64670.0,2
2026-05-28 09:00:00,JAPAN225,64685.0,64740.0,64685.0,64740.0,5
2026-05-28 09:05:00,JAPAN225,64710.0,64720.0,64640.0,64640.0,7
2026-05-28 09:20:00,JAPAN225,64685.0,64705.0,64645.0,64645.0,12
2026-05-28 09:25:00,JAPAN225,64605.0,64605.0,64605.0,64605.0,2
2026-05-28 09:30:00,JAPAN225,64610.0,64615.0,64610.0,64615.0,2
2026-05-28 09:35:00,JAPAN225,64585.0,64585.0,64570.0,64570.0,3
2026-05-28 09:40:00,JAPAN225,64580.0,64580.0,64580.0,64580.0,1
2026-05-28 09:45:00,JAPAN225,64610.0,64615.0,64610.0,64610.0,10
2026-05-28 09:50:00,JAPAN225,64645.0,64685.0,64645.0,64680.0,22
2026-05-28 09:55:00,JAPAN225,64660.0,64670.0,64660.0,64665.0,4
2026-05-28 10:00:00,JAPAN225,64685.0,64695.0,64635.0,64640.0,11
2026-05-28 10:05:00,JAPAN225,64615.0,64615.0,64595.0,64605.0,7
2026-05-28 10:10:00,JAPAN225,64605.0,64610.0,64580.0,64580.0,9
2026-05-28 10:15:00,JAPAN225,64560.0,64565.0,64555.0,64555.0,43
2026-05-28 10:20:00,JAPAN225,64550.0,64550.0,64520.0,64520.0,12
2026-05-28 10:25:00,JAPAN225,64530.0,64530.0,64530.0,64530.0,2
2026-05-28 10:30:00,JAPAN225,64555.0,64555.0,64555.0,64555.0,1
2026-05-28 10:35:00,JAPAN225,64520.0,64545.0,64520.0,64545.0,4
2026-05-28 10:40:00,JAPAN225,64540.0,64540.0,64500.0,64505.0,6
2026-05-28 10:45:00,JAPAN225,64515.0,64515.0,64515.0,64515.0,2
2026-05-28 10:50:00,JAPAN225,64490.0,64510.0,64365.0,64510.0,109
2026-05-28 10:55:00,JAPAN225,64505.0,64505.0,64420.0,64440.0,33
2026-05-28 11:00:00,JAPAN225,64435.0,64505.0,64435.0,64465.0,44
